times,arima_forecast_mean,ha_arima_forecast_upper95,ha_arima_forecast_lower95,ha_arima_forecast_upper80,ha_arima_forecast_lower_80,mydata.headache.test_start_index.test_end_index.
2014-08-23 02:36:00-07:00,0,2.5772152,-2.5772152,1.685150441,-1.685150441,0
2014-08-23 02:37:00-07:00,0,2.585409863,-2.585409863,1.690508644,-1.690508644,0
2014-08-23 02:38:00-07:00,0,2.593578635,-2.593578635,1.695849917,-1.695849917,0
2014-08-23 02:39:00-07:00,0,2.601721759,-2.601721759,1.701174419,-1.701174419,0
2014-08-23 02:40:00-07:00,0,2.609839476,-2.609839476,1.706482309,-1.706482309,0
2014-08-23 02:41:00-07:00,0,2.61793202,-2.61793202,1.71177374,-1.71177374,0
2014-08-23 02:42:00-07:00,0,2.625999627,-2.625999627,1.717048864,-1.717048864,0
2014-08-23 02:43:00-07:00,0,2.634042523,-2.634042523,1.722307831,-1.722307831,0
2014-08-23 02:44:00-07:00,0,2.642060936,-2.642060936,1.72755079,-1.72755079,0
2014-08-23 02:45:00-07:00,0,2.650055087,-2.650055087,1.732777884,-1.732777884,0
2014-08-23 02:46:00-07:00,0,2.658025196,-2.658025196,1.737989258,-1.737989258,0
2014-08-23 02:47:00-07:00,0,2.665971477,-2.665971477,1.743185052,-1.743185052,0
2014-08-23 02:48:00-07:00,0,2.673894144,-2.673894144,1.748365405,-1.748365405,0
2014-08-23 02:49:00-07:00,0,2.681793405,-2.681793405,1.753530455,-1.753530455,0
2014-08-23 02:50:00-07:00,0,2.689669468,-2.689669468,1.758680335,-1.758680335,0
2014-08-23 02:51:00-07:00,0,2.697522534,-2.697522534,1.763815179,-1.763815179,0
2014-08-23 02:52:00-07:00,0,2.705352804,-2.705352804,1.768935118,-1.768935118,0
2014-08-23 02:53:00-07:00,0,2.713160477,-2.713160477,1.77404028,-1.77404028,0
2014-08-23 02:54:00-07:00,0,2.720945745,-2.720945745,1.779130794,-1.779130794,0
2014-08-23 02:55:00-07:00,0,2.728708802,-2.728708802,1.784206783,-1.784206783,0
2014-08-23 02:56:00-07:00,0,2.736449835,-2.736449835,1.789268373,-1.789268373,0
2014-08-23 02:57:00-07:00,0,2.744169032,-2.744169032,1.794315685,-1.794315685,0
2014-08-23 02:58:00-07:00,0,2.751866576,-2.751866576,1.799348838,-1.799348838,0
2014-08-23 02:59:00-07:00,0,2.759542648,-2.759542648,1.804367952,-1.804367952,0
2014-08-23 03:00:00-07:00,0,2.767197427,-2.767197427,1.809373143,-1.809373143,0
